AGS,wieOft_Landkreis
03360,2
15091,2
13073,20
13071,36
15086,2
05382,22
13075,18
13076,19
13074,36
03459,18
03353,1
14521,25
05358,11
03351,3
09475,18
13072,26
07231,2
14523,8
06439,5
15082,3
15088,3
15085,3
07131,1
09376,24
03460,2
03151,2
16073,3
05570,16
15083,9
12066,3
05378,4
03251,5
03452,7
01055,1
09181,23
09190,10
05962,4
01054,3
05711,21
05958,16
14522,52
01057,3
05162,1
05766,9
05915,12
02000,1
07334,1
01056,4
09276,9
09780,13
05566,36
15089,3
12068,3
16064,1
09472,10
05770,1
16054,1
07134,2
07313,7
09471,17
16077,2
09187,19
16063,4
14524,7
05374,19
12065,1
16051,20
12062,4
16062,1
12073,5
16061,1
16074,1
12063,5
08325,3
14628,19
14627,23
01059,7
14626,15
09478,4
08216,3
05154,5
09571,23
09374,20
14511,5
09375,8
09183,6
12064,8
12069,2
12067,2
09275,30
12070,1
07331,6
16069,2
16066,2
16067,1
08317,71
06433,1
16076,3
08221,2
07332,4
16071,5
07336,2
07335,6
07135,6
07339,1
07333,1
12060,1
16070,1
12071,8
16072,2
16068,1
12052,6
12051,1
12072,1
09177,15
08119,41
05978,16
05113,15
04011,1
05122,1
05911,1
05334,21
05916,1
05120,2
05316,1
05117,1
05954,36
05758,8
15081,5
09175,7
09776,8
09371,11
08126,17
08116,91
09671,9
08337,11
08416,9
03359,2
06434,2
05119,16
09272,19
16053,1
06633,9
05170,7
05314,17
09172,4
09279,5
07232,4
05124,1
05114,1
14729,14
06531,1
09171,5
05914,1
05913,13
05362,3
05112,1
16055,1
14612,1
09188,7
05512,3
09479,5
09184,3
05515,6
06631,2
05774,16
05513,2
09377,22
08117,47
08127,37
06635,6
08436,73
03456,3
05966,9
06436,1
06411,2
05974,1
08231,22
06414,1
09185,8
06431,2
03155,8
05970,21
08435,29
15087,2
03255,4
03451,18
08215,25
09372,15
08426,34
03357,1
01058,13
13004,6
06435,14
08335,16
03356,5
09779,37
08128,2
08417,41
10041,5
09174,5
07111,10
03454,8
03154,1
03254,3
03361,4
08311,52
07141,3
03453,10
03458,8
03102,2
05554,3
08326,72
08235,23
08125,22
08118,116
05158,5
07233,2
08237,34
09772,16
03354,12
08115,34
09176,15
05315,3
08136,39
03153,2
03241,2
09173,7
03256,11
05370,1
05754,16
06438,1
08135,12
08425,149
08316,5
03455,4
09674,15
05558,1
09271,13
07320,4
03462,5
09178,4
08226,8
03461,2
14625,32
09679,15
09677,12
09572,6
05366,8
08437,18
16052,1
06533,4
06534,4
06532,5
03358,3
09186,7
09777,23
06440,10
09672,19
03257,18
08327,24
07317,6
03159,1
08415,15
09274,19
09189,20
09361,1
09476,13
09773,13
09273,9
07211,3
07314,11
03101,1
08336,5
08111,2
09180,8
09474,13
09278,14
09577,14
07133,1
09774,8
09477,8
09778,12
09277,42
09373,8
09678,14
09179,3
09676,9
09675,8
09473,2
09564,1
09775,5
03352,8
09771,9
09763,1
01051,1
01060,2
09575,23
06632,3
09574,6
08225,1
06437,1
09576,6
09673,8
10044,6
05166,1
10046,4
10042,5
10045,4
15084,1
09182,3
12061,2
08315,1
08222,1
10043,2
06636,3
05562,1
01062,1
06634,1
01002,1
